"name";"energy";"protein";"fat";"sacharid";"cholesterol";"vlaknina";"unit";"amount";"idgroup"
"Výměnná jednotka";"null";"null";"null";"null";"null";"null";"g";"null";"null"
"Výměnná jednotka";"1700";"0";"0";"100";"0";"0";"u10";"100";"null";"SACCHARIDE"
"Zelenina, luštěniny, houby";"null";"null";"null";"null";"null";"null";"g";"null";"null"
"Zelenina - 100 g";"null";"null";"null";"null";"null";"null";"g";"null";"0"
"Artyčoky";"170";"2.4";"0.1";"2.6";"0";"10.8";"g";"100";"3"
"Brambory rané";"300";"1.7";"0.2";"16.6";"0";"1.3";"g";"100";"3"
"Brambory zimní";"330";"1.8";"0.3";"18.2";"0";"1.6";"g";"100";"3"
"Brokolice. kedlubna";"140";"4.4";"0.9";"2.9";"0";"2.8";"g";"100";"3"
"Brukev";"130";"2.1";"0.2";"5.8";"0";"2.2";"g";"100";"3"
"Celer-bulva";"210";"1.7";"0.3";"9.9";"0";"3.7";"g";"100";"3"
"Celer-řapíkatý";"140";"1.3";"0.2";"3.7";"0";"2.4";"g";"100";"3"
"Cibule";"200";"1.7";"0.3";"9.6";"0";"1.4";"g";"100";"3"
"Cibule-raná";"140";"2";"0.2";"5.8";"0";"1.3";"g";"100";"3"
"Cuketa";"80";"1.6";"0.4";"2.1";"0";"0.9";"g";"100";"3"
"Čekanka salátová";"90";"1.5";"0.1";"4";"0";"1.4";"g";"100";"3"
"Černý kořen";"260";"1.4";"0.4";"13.3";"0";"5.3";"g";"100";"3"
"Červená řepa";"200";"1.8";"0.1";"10.6";"0";"2.3";"g";"100";"3"
"Česnek";"450";"6.6";"0.2";"26.9";"0";"0.9";"g";"100";"3"
"Fazolky";"160";"2.3";"0.3";"7.1";"0";"3";"g";"100";"3"
"Fenykl";"110";"2.4";"0.3";"6.1";"0";"3.3";"g";"100";"3"
"Hrášek";"320";"6.5";"0.5";"13.3";"0";"5.2";"g";"100";"3"
"Chřest";"90";"2.2";"0.2";"3.5";"0";"1.8";"g";"100";"3"
"Kapusta hlávková";"180";"3.1";"0.5";"6.7";"0";"3.1";"g";"100";"3"
"Kapusta kadeřavá";"140";"4.3";"0.9";"2.1";"0";"3.3";"g";"100";"3"
"Kapusta růžičková";"210";"5.2";"0.6";"7.6";"0";"1.6";"g";"100";"3"
"Kopr";"160";"2.4";"0.2";"7.8";"0";"1.6";"g";"100";"3"
"Křen";"440";"3.9";"0.5";"22.4";"0";"6.2";"g";"100";"3"
"Kukuřice cukrová";"440";"3.5";"2.2";"18.8";"0";"0.5";"g";"100";"3"
"Květák";"120";"2.4";"0.3";"4.4";"0";"1.8";"g";"100";"3"
"Lilek";"160";"1.3";"0.3";"8.2";"0";"2.3";"g";"100";"3"
"Mangold listy";"60";"2.1";"0.3";"2.8";"0";"2";"g";"100";"3"
"Meloun červený";"110";"0.6";"0.2";"5";"0";"0.3";"g";"100";"3"
"Meloun žlutý";"120";"0.5";"0.1";"6.5";"0";"0.9";"g";"100";"3"
"Mrkev";"190";"1.4";"0.3";"9.7";"0";"3";"g";"100";"3"
"Okurka nakládačka";"50";"1";"0.2";"1.8";"0";"1";"g";"100";"3"
"Okurka salátová";"70";"0.7";"0.2";"2.6";"0";"0.9";"g";"100";"3"
"Paprika červená";"120";"1.2";"0.5";"5.2";"0";"1.6";"g";"100";"3"
"Paprika zelená";"70";"0.8";"0.3";"2.6";"0";"1.9";"g";"100";"3"
"Patizony";"210";"2.3";"0.3";"10.2";"0";"null";"g";"100";"3"
"Pažitka";"210";"3.3";"0.7";"8.1";"0";"2";"g";"100";"3"
"Pekingské zelí";"50";"1.1";"0.3";"1";"0";"1.6";"g";"100";"3"
"Petržel kořen";"260";"2.9";"0.6";"12.2";"0";"1.8";"g";"100";"3"
"Petržel nať";"240";"3.7";"1";"9";"0";"5";"g";"100";"3"
"Polníček";"70";"1.8";"0.4";"1.4";"0";"1.5";"g";"100";"3"
"Pór";"190";"2.5";"0.3";"8.6";"0";"1.5";"g";"100";"3"
"Rajčata";"100";"1.1";"0.3";"4.6";"0";"1.5";"g";"100";"3"
"Reveň";"80";"1.3";"0.1";"3.6";"0";"1.4";"g";"100";"3"
"Ředkev";"90";"1.5";"0.1";"5";"0";"1.1";"g";"100";"3"
"Ředkvičky";"80";"1.1";"0.1";"3.7";"0";"1";"g";"100";"3"
"Řeřicha zahradní";"60";"1.6";"0.6";"0.4";"0";"3.3";"g";"100";"3"
"Salát hlávkový";"80";"1.5";"0.3";"2.7";"0";"0.9";"g";"100";"3"
"Salát ledový";"50";"0.7";"0.3";"1.9";"0";"1.2";"g";"100";"3"
"Salát římský";"70";"1";"0.6";"1.7";"0";"1.2";"g";"100";"3"
"Sójové výhonky";"210";"5.5";"1";"4.7";"0";"2.6";"g";"100";"3"
"Špenát";"140";"3.4";"0.6";"4.1";"0";"2.1";"g";"100";"3"
"Topinambury";"330";"1.9";"0.2";"17";"0";"3.5";"g";"100";"3"
"Tykev velkoplodá";"170";"0.8";"0.1";"9";"0";"2.3";"g";"100";"3"
"Výhonky vojtěšky (alfalfa)";"100";"4";"0.7";"0.4";"0";"1.6";"g";"100";"3"
"Zelí bílé hlávkové";"120";"1.5";"0.2";"4.5";"0";"2.7";"g";"100";"3"
"Zelí červené hlávkové";"130";"1.6";"0.3";"6.1";"0";"3.1";"g";"100";"3"
"Luštěniny - 100 g";"null";"null";"null";"null";"null";"null";"g";"null";"0"
