"skupina";"popis";"nazev";"para A";"para B";"para S";"pridam dalsi sloupecek, aby vyfuckoval prvni radek"
"Rychle působící analoga";"Analoga lidského inzulínu. Lispro, aspart nebo glulisin.";"";"0.04";"1.0";"1.5"
"";"";"Humalog";"";"";""
"";"";"NovoRapid";"";"";""
"Dlouze působící analoga";"Analoga lidského inzulínu. Glargin nebo detemir.";"";"0.0";"14";"1.5"
"";"";"Lantus";"";"";""
"";"";"Levemir";"";"";""
"Rychle působící";"Čiré roztoky krystalického inzulínu.";"";"0.05";"1.7";"2.0"
"";"";"Actrapid";"";"";""
"";"";"Humulin R";"";"";""
"";"";"Humulin S";"";"";""
"Středně rychle působící";"Neutral Protamine Hagedorn (NPH).";"";"0.18";"4.9";"2.0"
"";"";"Isophane NPH";"";"";""
"";"";"Humulin N";"";"";""
"";"";"Insulatard";"";"";""
"";"";"Insuman";"";"";""
"Dlouze působící";"Suspenze krystalického inzulínu v přítomnosti zinečnatých iontů. Slouží k pokrytí bazální potřeby inzulínu.";"";"0.15";"6.2";"2.4"
"";"";"Monotard";"";"";""
"";"";"Humulin L";"";"";""
"Velmi dlouze působící";"Suspenze krystalického inzulínu v přítomnosti zinečnatých iontů. Slouží k pokrytí bazální potřeby inzulínu.";"";"0";"13";"2.5"
"";"";"Ultratard";"";"";""
"";"";"Humulin U";"";"";""
