"Cyklistika, jízda na kole";"";""
"";"< 15 km/h, cyklistika, velmi lehká, do práce, na nákup...";"0.279"
"";"> 30 km/h, závodní, velmi rychlá";"1.116"
"";"15 - 19 km/h, lehká, pomalejší, s malým úsilím";"0.419"
"";"20 - 22,5 km/h, lehčí, střední úsilí";"0.558"
"";"22,5 - 25 km/h, rychlejší, větší úsilí";"0.698"
"";"25 - 27 km/h, závodní, ne v závěsu nebo > 30 km/h závodní, v závěsu";"0.837"
"";"Horská cyklistika, MTB, terénem";"0.667"
"Kondicní cvičení, posilování";"";""
"";"Cvičení doma, lehké úsilí";"0.314"
"";"Cvičení, sedy lehyapod., intenzivní";"0.558"
"";"Kruhový trénink, obecně";"0.558"
"";"Posilování s činkami, lehčí úsilí";"0.209"
"";"Posilování s činkami, střední úsilí";"0.419"
"";"Rotoped, 100 w, lehké úsilí";"0.384"
"";"Rotoped, 150 w, střední úsilí";"0.488"
"";"Rotoped, 200 w, intenzivní úsilí";"0.733"
"";"Rotoped, 250 w, velmi intenzivní úsilí";"0.872"
"";"Rotoped, 50 wattů, velmi lehké úsilí";"0.209"
"";"Strečink, střední úsilí";"0.174"
"";"Veslování - trenažér, 100 w, střední úsilí";"0.488"
"";"Veslování - trenažér, 150 w, intenzivní úsilí";"0.593"
"";"Veslování - trenažér, 200 w, velmi intenzivní úsilí";"0.837"
"";"Veslování - trenažér, 50 w, lehké úsilí";"0.244"
"";"Vodní aerobic";"0.279"
"Tanec, aerobic";"";""
"";"Aerobic intenzivní (high impact)";"0.488"
"";"Aerobic lehčí (low impact)";"0.349"
"";"Aerobic obecně, step - aerobic";"0.454"
"";"Aerobic, balet, twist, jazz, obecně";"0.419"
"";"Tanec pomalý - waltz, foxtrot, samba, tango";"0.209"
"";"Tanec rychlý - disco, folk, polka, country...";"0.314"
"Domácí aktivity - úklid";"";""
"";"Aktivity vyžadující chůzi";"0.16"
"";"Aktivity vyžadující lehkou chůzi - odchod z domova, zamykání, zavírání oken";"0.209"
"";"Aktivity vyžadující stání - prádlo, úklid oblečení, balení zavazadel...";"0.14"
"";"Drhnutí podlahy, v kleče";"0.384"
"";"Hra s dětmi, zvířaty, chůze, běh - intenzivní";"0.349"
"";"Hra s dětmi, zvířaty, chůze, běh - střední";"0.279"
"";"Hra s dětmi, zvířaty, v sedě";"0.174"
"";"Hra s dětmi, zvířaty, ve stoje";"0.195"
"";"Krmení menších zvířat";"0.174"
"";"Krmení větších zvířat";"0.314"
"";"Mytí nádobí - ve stoje";"0.16"
"";"Mytí, intenzivně, např. auto, okna apod.";"0.279"
